model_id,display_name,canonical_family,context_length,total_runs,successful_runs,failed_runs,success_rate,error_rate,availability,latency_sec_avg,latency_sec_median,latency_sec_p95,latency_sec_min,latency_sec_max,prompt_tokens_avg,completion_tokens_avg,total_tokens_avg,tokens_per_sec_avg,cost_avg,cost_total,first_seen,last_seen
inclusionai/ling-3.0-flash-sante:free,inclusionAI: Ling 3.0 Flash Sante (free),inclusionai,262144,2,2,0,1.0,0.0,0.0267,0.923,0.923,0.939,0.907,0.939,50,71,121,131.27,0.0,0.0,2026-09-07T01:46:02.863182+00:00,2026-09-08T01:57:31.042537+00:00
inclusionai/ling-3.0-flash:free,Ling-3.0-flash (free),inclusionai,262144,10,10,0,1.0,0.0,0.1333,0.981,0.955,1.272,0.745,1.272,50,33,83,85.11,0.0,0.0,2026-07-24T01:44:10.606338+00:00,2026-08-06T01:26:50.510864+00:00
inclusionai/ling-3.0-flash-fin:free,inclusionAI: Ling 3.0 Flash Fin (free),inclusionai,262144,8,8,0,1.0,0.0,0.1067,1.319,1.427,1.673,0.7,1.673,50,116,166,130.22,0.0,0.0,2026-08-28T07:47:04.680150+00:00,2026-09-08T01:57:31.042537+00:00
cohere/north-mini-code:free,Cohere: North Mini Code (free),cohere,256000,62,62,0,1.0,0.0,0.8267,1.712,1.534,3.475,0.513,4.741,28,65,93,76.07,0.0,0.0,2026-06-18T02:31:34.952204+00:00,2026-09-08T01:57:31.042537+00:00
dots-studio/dots-3-note-preview:free,Dots Studio: Dots3-Note Preview (free),dots-studio,512000,17,17,0,1.0,0.0,0.2267,1.87,1.747,3.109,1.153,3.109,42,127,169,87.61,0.0,0.0,2026-08-17T00:36:27.585610+00:00,2026-09-08T01:57:31.042537+00:00
tencent/hy3:free,Tencent: Hy3 (free),tencent,262144,10,10,0,1.0,0.0,0.1333,2.132,2.03,3.44,1.469,3.44,41,54,95,43.83,0.0,0.0,2026-07-07T02:01:27.460593+00:00,2026-07-20T01:56:26.171931+00:00
minimax/minimax-m3:free,MiniMax: MiniMax M3 (free),minimax,1048576,9,9,0,1.0,0.0,0.12,3.035,2.036,12.141,0.67,12.141,191,1,192,125.68,0.0,0.0,2026-08-26T00:38:31.662863+00:00,2026-09-07T01:46:02.863182+00:00
openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),openai,131072,63,63,0,1.0,0.0,0.84,6.219,2.543,27.604,0.843,51.121,96,42,137,59.01,0.0,0.0,2026-06-06T10:58:45.875065+00:00,2026-08-21T00:39:03.343399+00:00
minimax/minimax-m2.7:free,MiniMax: MiniMax M2.7 (free),minimax,196608,9,9,0,1.0,0.0,0.12,11.64,4.109,67.698,2.22,67.698,69,107,176,44.33,0.0,0.0,2026-08-26T00:38:31.662863+00:00,2026-09-07T01:46:02.863182+00:00
stealth/ox-alpha,Ox Alpha,stealth,1048576,4,4,0,1.0,0.0,0.0533,4.452,4.316,7.981,1.197,7.981,115,25,140,54.28,0.0,0.0,2026-08-21T00:39:03.343399+00:00,2026-08-26T00:38:31.662863+00:00
